ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,STRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
"02","1","06","117","2018","05","06","4","3","5","3","0","0","1","0","0","0","0","0",567973.64670000004,5934164.07369999960,10.02601202800,53.55196087900
"02","1","08","124","2018","01","07","3","3","5","2","2","0","1","0","0","0","0","0",568946.18990000000,5934253.25509999972,10.04070887500,53.55263554600
"02","1","07","120","2018","01","18","3","3","2","6","2","0","1","0","0","0","0","1",567977.61499999999,5934360.52900000010,10.02611463300,53.55372593800
"02","1","08","124","2018","01","20","5","3","4","2","2","0","1","0","0","0","0","1",568954.95279999997,5934248.94959999993,10.04084017300,53.55259570100
"02","1","07","119","2018","01","15","4","3","5","3","0","0","1","0","0","0","0","0",568940.17599999998,5934441.29100000020,10.04065958100,53.55432623500
"02","1","06","117","2018","03","06","2","3","2","6","1","0","1","0","0","0","0","0",568010.14159999997,5934103.21789999958,10.02654955700,53.55140923200
"02","1","07","119","2018","07","22","6","3","4","2","1","0","1","0","0","0","0","0",568946.12199999997,5934254.26530000009,10.04070807300,53.55264463400
"02","1","07","120","2018","06","07","6","3","1","6","0","0","1","0","0","0","1","0",568000.78399999999,5934475.78849999979,10.02648937700,53.55475879100
"02","1","07","119","2018","06","08","2","3","1","6","0","0","1","0","0","0","1","0",567941.57819999999,5934272.99770000018,10.02555173400,53.55294394600
"02","1","06","117","2018","06","09","2","3","5","3","0","0","1","0","0","1","0","0",567962.25000000000,5934184.58100000024,10.02584449200,53.55214665600
"02","1","06","117","2018","06","16","1","3","5","2","0","1","1","0","0","0","0","0",567945.21010000003,5934160.25779999979,10.02558204500,53.55193026500
"02","1","07","119","2018","11","13","6","3","3","6","0","0","1","0","0","1","0","0",567969.47679999995,5934327.24729999993,10.02598457300,53.55342788400
"02","1","06","117","2018","10","08","2","3","5","3","0","0","1","0","0","0","0","1",567973.54180000001,5934094.63970000017,10.02599535000,53.55133687800
"02","1","06","117","2018","07","13","5","3","5","3","0","0","1","0","0","0","0","0",568008.14800000004,5934109.51140000019,10.02652084000,53.55146605100
"02","1","07","120","2018","10","13","2","3","0","6","0","0","1","0","0","0","1","0",568024.76580000005,5934564.52280000038,10.02687063400,53.55555315200
"02","1","06","117","2018","06","20","5","3","0","1","0","0","0","0","1","0","0","0",567956.64090000000,5934131.15350000001,10.02574822800,53.55166722100
"02","1","07","119","2018","08","13","4","3","1","6","0","0","1","0","0","0","1","0",567946.44429999997,5934304.96190000046,10.02563212000,53.55323058300
"02","1","07","119","2018","08","08","3","3","2","6","0","0","1","0","0","0","0","0",567958.35620000004,5934237.84219999984,10.02579730500,53.55262582700
"02","1","06","117","2018","08","07","5","3","5","3","0","1","1","0","0","0","0","0",568011.73890000000,5934098.17559999973,10.02657256600,53.55136370900
"02","1","07","120","2018","10","17","3","3","6","6","0","1","0","1","0","0","0","1",567996.68859999999,5934457.82600000035,10.02642365900,53.55459789000
"02","1","06","117","2018","08","08","3","3","3","6","0","0","1","0","0","0","0","0",567968.04729999998,5934106.66330000013,10.02591504400,53.55144564800
"02","1","07","119","2018","08","10","5","3","2","6","0","0","1","0","0","0","0","0",567958.59169999999,5934243.93250000011,10.02580218300,53.55268053100
"02","1","08","124","2018","11","13","2","3","4","2","0","0","1","0","0","0","0","1",568948.12009999994,5934248.59389999975,10.04073697800,53.55259340200
"02","1","06","117","2018","09","07","4","3","2","6","0","0","1","0","0","0","1","1",567947.54009999998,5934152.18649999984,10.02561545400,53.55185742600
"02","1","06","117","2018","05","12","1","3","3","6","0","0","1","0","1","0","0","0",567972.48699999996,5934097.13100000005,10.02597997300,53.55135940500
"02","1","06","117","2018","09","14","3","3","3","6","0","0","1","0","0","1","0","0",567945.63470000005,5934182.22819999978,10.02559322800,53.55212766200
"02","1","06","117","2018","06","17","7","3","2","6","0","0","1","0","0","0","0","1",567974.42130000005,5934092.56240000017,10.02600817100,53.55131809500
"02","1","06","117","2018","07","10","5","3","1","3","0","1","1","0","0","0","0","0",567945.08230000001,5934160.74980000034,10.02558022300,53.55193470400
"02","1","07","119","2018","05","17","1","3","4","6","0","1","0","0","0","0","0","0",567948.97349999996,5934316.67399999965,10.02567283600,53.55333551400
"02","1","06","117","2018","07","16","7","3","5","3","0","0","1","0","0","0","0","0",567979.15049999999,5934156.05499999970,10.02609334600,53.55188810100
"02","1","06","117","2018","05","19","6","3","5","3","0","0","1","0","0","0","0","0",568005.93140000000,5934114.82990000024,10.02648854500,53.55151413600
"02","1","07","119","2018","05","16","6","3","6","7","0","1","0","1","0","0","0","0",567942.27159999998,5934284.09889999963,10.02556461100,53.55304362400
"02","1","07","119","2018","01","00","6","3","2","1","2","0","1","0","0","0","0","0",568184.95600000001,5934188.20490000024,10.02920628400,53.55215034800
"02","1","07","119","2018","01","16","3","3","3","6","2","0","1","0","0","0","0","0",568751.13850000000,5934532.62490000017,10.03782664200,53.55517185400
"02","1","07","119","2018","02","12","6","2","6","4","0","0","0","1","0","1","0","0",568362.20570000005,5934202.09549999982,10.03188431100,53.55225213500
"02","1","07","119","2018","01","13","4","3","2","6","0","0","1","0","0","0","0","1",568728.74580000003,5934229.37040000036,10.03742200500,53.55244940200
"02","1","05","113","2018","01","10","4","3","2","6","0","0","1","0","0","0","0","1",567918.56510000001,5934536.25349999964,10.02526161700,53.55531284300
"02","1","07","120","2018","01","21","3","3","5","3","2","1","1","0","0","0","0","1",568009.41859999998,5934382.55700000003,10.02659941200,53.55391978800
"02","1","05","113","2018","03","17","1","3","6","2","0","0","1","1","0","0","0","0",567883.58719999995,5934341.89350000024,10.02469149600,53.55357062500
"02","1","07","120","2018","04","16","3","3","5","5","0","1","1","0","0","0","0","1",568297.85569999996,5934543.40600000042,10.03098772800,53.55532791400
"02","1","07","119","2018","05","18","4","3","1","2","0","0","1","0","1","0","0","0",568795.99239999999,5934234.77460000012,10.03843806100,53.55248916300
"02","1","07","119","2018","05","18","3","3","3","6","0","0","1","0","0","0","0","1",568919.93579999998,5934246.39840000030,10.04031114300,53.55257737100
"02","1","07","120","2018","04","08","2","3","0","1","0","0","0","0","1","0","0","1",567904.73990000004,5934345.52219999954,10.02501152500,53.55360050100
"02","1","06","117","2018","04","05","6","3","0","7","0","0","1","0","0","0","1","0",567866.82689999999,5934107.90490000043,10.02438775300,53.55146990000
"02","1","06","117","2018","04","07","4","3","2","6","0","0","1","0","0","0","0","1",568135.75740000000,5934173.25219999999,10.02846053700,53.55202235400
