,referralId,reasons.count,reasons.items,venue.id,venue.name,venue.location.address,venue.location.lat,venue.location.lng,venue.location.labeledLatLngs,venue.location.distance,venue.location.postalCode,venue.location.cc,venue.location.city,venue.location.state,venue.location.country,venue.location.formattedAddress,venue.categories,venue.verified,venue.stats.tipCount,venue.stats.usersCount,venue.stats.checkinsCount,venue.stats.visitsCount,venue.beenHere.count,venue.beenHere.lastCheckinExpiredAt,venue.beenHere.marked,venue.beenHere.unconfirmedCount,venue.photos.count,venue.photos.groups,venue.hereNow.count,venue.hereNow.summary,venue.hereNow.groups,venue.location.crossStreet,venue.location.neighborhood,venue.venuePage.id
0,e-0-54228164498e1b6b9c29bdef-0,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",54228164498e1b6b9c29bdef,Heldenbar,Ostertorsteinweg 105,53.07294348552111,8.822784517955851,"[{'label': 'display', 'lat': 53.07294348552111, 'lng': 8.822784517955851}]",1092,28203,DE,Bremen,Bremen,Deutschland,"['Ostertorsteinweg 105', '28203 Bremen', 'Deutschland']","[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],,,
1,e-0-4e47fd3bfa76a07fde6e042f-1,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4e47fd3bfa76a07fde6e042f,Fehrfeld,Fehrfeld 58,53.07340673676601,8.824389846335452,"[{'label': 'display', 'lat': 53.07340673676601, 'lng': 8.824389846335452}]",1182,28203,DE,Bremen,Bremen,Deutschland,"['Fehrfeld 58', '28203 Bremen', 'Deutschland']","[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],,,
2,e-0-4b71e170f964a520e8612de3-2,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b71e170f964a520e8612de3,Wohnzimmer,Ostertorsteinweg 99,53.072847199579996,8.822154763822532,"[{'label': 'display', 'lat': 53.072847199579996, 'lng': 8.822154763822532}]",1055,28203,DE,Bremen,Bremen,Deutschland,"['Ostertorsteinweg 99', '28203 Bremen', 'Deutschland']","[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],,,
3,e-0-4cf698e5d3a8a1cde839d243-3,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4cf698e5d3a8a1cde839d243,Mono,Langemarckstraße 207,53.06968367088848,8.787121962154274,"[{'label': 'display', 'lat': 53.06968367088848, 'lng': 8.787121962154274}]",1504,28199,DE,Bremen,Bremen,Deutschland,"['Langemarckstraße 207 (Pappelstraße)', '28199 Bremen', 'Deutschland']","[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],Pappelstraße,,
4,e-0-4b36652df964a520683425e3-4,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b36652df964a520683425e3,Litfass,Ostertorsteinweg 22,53.0727782520999,8.820219405732924,"[{'label': 'display', 'lat': 53.0727782520999, 'lng': 8.820219405732924}]",936,28203,DE,Bremen,Bremen,Deutschland,"['Ostertorsteinweg 22', '28203 Bremen', 'Deutschland']","[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],,,
5,e-0-4b67414bf964a52022442be3-5,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b67414bf964a52022442be3,Capri Bar,Fehrfeld 35,53.074844658267786,8.826753619911871,"[{'label': 'display', 'lat': 53.074844658267786, 'lng': 8.826753619911871}]",1314,28203,DE,Bremen,Bremen,Deutschland,"['Fehrfeld 35', '28203 Bremen', 'Deutschland']","[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],,,
6,e-0-593e5267f193c0240951f711-6,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",593e5267f193c0240951f711,Cafe & Bar Celona,Unser Lieben Frauen Kirchhof 6,53.07684649864925,8.807989660101375,"[{'label': 'display', 'lat': 53.07684649864925, 'lng': 8.807989660101375}]",126,28195,DE,Bremen,Bremen,Deutschland,"['Unser Lieben Frauen Kirchhof 6', '28195 Bremen', 'Deutschland']","[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],,,
7,e-0-4b82e0cef964a5208fea30e3-7,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b82e0cef964a5208fea30e3,Lift,,53.07207594477526,8.821811677227085,"[{'label': 'display', 'lat': 53.07207594477526, 'lng': 8.821811677227085}]",1064,28203,DE,Bremen,Bremen,Deutschland,"['28203 Bremen', 'Deutschland']","[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],,,
8,e-0-4b539662f964a5208da327e3-8,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b539662f964a5208da327e3,Rum Bumper's,Humboldstr. 34,53.07506158551463,8.825758742558596,"[{'label': 'display', 'lat': 53.07506158551463, 'lng': 8.825758742558596}]",1246,28203,DE,Bremen,Bremen,Deutschland,"['Humboldstr. 34', '28203 Bremen', 'Deutschland']","[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],,,
9,e-0-4b671c88f964a5205f3b2be3-9,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b671c88f964a5205f3b2be3,Café & Bar Celona,Schlachte 32,53.07809714388303,8.800026519322039,"[{'label': 'display', 'lat': 53.07809714388303, 'lng': 8.800026519322039}]",540,28195,DE,Bremen,Bremen,Deutschland,"['Schlachte 32 (Katharinenstr.)', '28195 Bremen', 'Deutschland']","[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],Katharinenstr.,,
