,referralId,reasons.count,reasons.items,venue.id,venue.name,venue.location.address,venue.location.lat,venue.location.lng,venue.location.labeledLatLngs,venue.location.distance,venue.location.postalCode,venue.location.cc,venue.location.city,venue.location.state,venue.location.country,venue.location.formattedAddress,venue.categories,venue.verified,venue.stats.tipCount,venue.stats.usersCount,venue.stats.checkinsCount,venue.stats.visitsCount,venue.beenHere.count,venue.beenHere.lastCheckinExpiredAt,venue.beenHere.marked,venue.beenHere.unconfirmedCount,venue.photos.count,venue.photos.groups,venue.hereNow.count,venue.hereNow.summary,venue.hereNow.groups,venue.venuePage.id,venue.location.crossStreet,venue.location.neighborhood
0,e-0-56967f7a498ec3a237e7357a-0,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",56967f7a498ec3a237e7357a,Boilerman Bar,Osakaallee 12,53.54245459131936,9.998270324777048,"[{'label': 'display', 'lat': 53.54245459131936, 'lng': 9.998270324777048}]",1314,20457,DE,Hamburg,Hamburg,Deutschland,"['Osakaallee 12', '20457 Hamburg', 'Deutschland']","[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],,,
1,e-0-53b6a009498e06cf1e5f31b1-1,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",53b6a009498e06cf1e5f31b1,Mr. Ape,Stellinger Weg 9,53.57775902842624,9.951488506379171,"[{'label': 'display', 'lat': 53.57775902842624, 'lng': 9.951488506379171}]",4119,20255,DE,Hamburg,Hamburg,Deutschland,"['Stellinger Weg 9', '20255 Hamburg', 'Deutschland']","[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],,,
2,e-0-4b0f0baaf964a520895e23e3-2,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b0f0baaf964a520895e23e3,Le Lion,Rathausstr. 3,53.55012502464838,9.994435961824273,"[{'label': 'display', 'lat': 53.55012502464838, 'lng': 9.994435961824273}]",570,20095,DE,Hamburg,Hamburg,Deutschland,"['Rathausstr. 3', '20095 Hamburg', 'Deutschland']","[{'id': '4bf58dd8d48988d11e941735', 'name': 'Cocktail Bar', 'pluralName': 'Cocktail Bars', 'shortName': 'Cocktail', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_', 'suffix': '.png'}, 'primary': True}]",True,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],49788480,,
3,e-0-4fa6b8b5e4b0752c6a58484d-3,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4fa6b8b5e4b0752c6a58484d,Clockers,Paul-Roosen-Str. 27,53.55319210440705,9.95802288148011,"[{'label': 'display', 'lat': 53.55319210440705, 'lng': 9.95802288148011}]",2750,22767,DE,Hamburg,Hamburg,Deutschland,"['Paul-Roosen-Str. 27', '22767 Hamburg', 'Deutschland']","[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],,,
4,e-0-4b05885bf964a52070c022e3-4,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b05885bf964a52070c022e3,Zoë II / Sofabar,Neuer Pferdemarkt 17,53.55870829656293,9.964223626803104,"[{'label': 'display', 'lat': 53.55870829656293, 'lng': 9.964223626803104}]",2390,20359,DE,Hamburg,Hamburg,Deutschland,"['Neuer Pferdemarkt 17 (Beckstr.)', '20359 Hamburg', 'Deutschland']","[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],,Beckstr.,
5,e-0-4b17b942f964a5207dc723e3-5,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b17b942f964a5207dc723e3,Katze,Schulterblatt 88,53.56250510442252,9.96149149617522,"[{'label': 'display', 'lat': 53.56250510442252, 'lng': 9.96149149617522}]",2681,20357,DE,Hamburg,Hamburg,Deutschland,"['Schulterblatt 88', '20357 Hamburg', 'Deutschland']","[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],,,
6,e-0-4b110cd9f964a520bb7723e3-6,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b110cd9f964a520bb7723e3,mutter,Stresemannstr. 11,53.558749187155435,9.962552066221152,"[{'label': 'display', 'lat': 53.558749187155435, 'lng': 9.962552066221152}]",2499,22767,DE,Hamburg,Hamburg,Deutschland,"['Stresemannstr. 11', '22767 Hamburg', 'Deutschland']","[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],,,
7,e-0-54b0227d498ee5fc19801c4a-7,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",54b0227d498ee5fc19801c4a,Alles Elbe,Hein-Hoyer-Str. 63,53.55310783592152,9.962821304798126,"[{'label': 'display', 'lat': 53.55310783592152, 'lng': 9.962821304798126}]",2434,20359,DE,Hamburg,Hamburg,Deutschland,"['Hein-Hoyer-Str. 63', '20359 Hamburg', 'Deutschland']","[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",True,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],,,
8,e-0-524c979011d2269771a2658d-8,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",524c979011d2269771a2658d,Kitty,Feldstr. 47,53.55711848299716,9.972286663877735,"[{'label': 'display', 'lat': 53.55711848299716, 'lng': 9.972286663877735}]",1833,20357,DE,Hamburg,Hamburg,Deutschland,"['Feldstr. 47 (Glashüttenstr.)', '20357 Hamburg', 'Deutschland']","[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],,Glashüttenstr.,St. Pauli
9,e-0-4b37fb9df964a520a64925e3-9,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b37fb9df964a520a64925e3,thier,Schulterblatt 98,53.56298434771884,9.960948323343917,"[{'label': 'display', 'lat': 53.56298434771884, 'lng': 9.960948323343917}]",2734,20357,DE,Hamburg,Hamburg,Deutschland,"['Schulterblatt 98', '20357 Hamburg', 'Deutschland']","[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],,,
