OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,Hour,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,STRZUSTAND,LINREFX,LINREFY,Longitude,Latitude
1,1,0,62,90,2018,2,7,5,3,6,2,2,0,1,1,0,0,0,0,575711.9044,5948332.301,10.14623501,53.67822767
2,1,0,56,44,2018,2,10,4,3,5,3,0,1,1,0,0,0,0,0,556340.5521,5939200.443,9.851351384,53.59860287
3,1,0,62,53,2018,6,17,7,3,3,3,0,1,1,0,0,0,0,0,577430.4789,5932382.892,10.16828443,53.53464436
4,1,0,62,90,2018,7,13,6,3,5,3,0,0,1,0,0,0,0,0,575559.0254,5948217.346,10.14389302,53.67721674
5,1,0,56,44,2018,7,16,5,3,6,7,0,0,1,1,0,0,0,0,556401.2369,5939189.864,9.852266356,53.59850127
6,1,0,56,44,2018,9,19,5,3,2,6,0,0,1,0,0,0,0,0,556446.492,5939182.995,9.852948868,53.59843466
7,2,2,5,215,2018,5,17,2,3,5,2,0,1,1,0,0,0,0,0,560890.0455,5935408.464,9.919348735,53.56401409
8,2,2,5,216,2018,4,20,4,3,4,3,2,1,0,0,0,0,0,1,560700.5465,5935454.45,9.91649692,53.56444933
9,2,6,1,601,2018,1,6,5,3,2,6,2,0,0,0,0,0,1,1,575350.2703,5931403.063,10.13666892,53.52614126
10,2,7,10,711,2018,2,11,1,2,8,1,0,0,1,0,0,0,0,1,561233.4085,5923019.125,9.922112105,53.45262506
11,2,4,7,417,2018,4,18,6,3,5,2,0,1,1,0,0,0,0,0,568506.3236,5935520.318,10.03434824,53.56408037
12,2,3,4,316,2018,3,14,1,2,2,7,0,0,1,0,0,0,0,0,563889.4944,5937334.403,9.965023091,53.58096646
13,2,1,16,136,2018,4,12,7,3,3,6,0,0,1,0,1,0,0,0,567299.8185,5930315.652,10.01501531,53.51746113
14,2,7,14,715,2018,1,18,2,3,3,6,2,0,1,0,0,0,0,1,557233.6944,5925061.874,9.86226021,53.47143434
15,2,1,12,130,2018,3,8,7,3,2,2,0,0,1,0,0,0,0,0,572923.4283,5932833.435,10.10040046,53.53933834
16,2,3,6,318,2018,5,9,3,3,5,3,0,1,0,0,0,0,0,0,562071.2325,5942222.873,9.938536649,53.62511901
