type_of_accident,lighting_conditions,road_conditions,impact_on_obstacle_next_to_the_road,location_innercity_extraurban,street_class,kind_of_accident,gender,feature_x,feature_y,day_of_week,vacation,month,hour_cat,age,casualty_age,casualty_gender,accident_categore,accident_severity
9,0,1,3,2,1.0,1,1.0,482424.8921,5888302.342,5,1,8,5,29,43,1.0,5.0,0.0
5,0,0,5,1,5.0,3,2.0,494247.651,5876613.031,3,1,9,4,81,54,2.0,3.0,0.0
2,0,0,5,1,2.0,6,2.0,485295.2814,5879868.586,7,1,8,4,65,45,1.0,5.0,0.0
2,0,0,4,1,5.0,6,1.0,485131.4719,5879436.753,5,1,8,2,91,46,1.0,3.0,0.0
5,0,1,5,1,2.0,3,2.0,485521.3834,5879609.007,5,1,8,4,61,58,1.0,3.0,0.0
2,0,0,5,2,1.0,6,1.0,472386.5811,5892677.747,4,1,8,2,50,33,2.0,5.0,0.0
5,0,0,5,1,5.0,2,1.0,492376.4294,5879037.078,6,0,10,4,24,44,1.0,3.0,0.0
2,0,0,5,1,5.0,6,1.0,493238.3531,5886457.208,2,0,10,4,39,23,1.0,5.0,0.0
5,2,1,5,1,5.0,3,2.0,471498.4931,5894505.056,2,0,9,5,28,62,2.0,5.0,0.0
8,0,0,4,1,5.0,7,2.0,489956.7563,5881768.654,6,0,6,3,91,44,1.0,5.0,0.0
5,2,1,1,1,5.0,3,2.0,493440.8177,5880241.452000001,2,0,9,1,19,53,1.0,4.0,1.0
3,0,1,5,1,5.0,6,1.0,487727.1573,5878190.709,1,0,11,3,38,53,1.0,5.0,0.0
2,2,1,5,1,5.0,6,1.0,478077.668,5882298.445,5,1,10,5,88,19,1.0,3.0,0.0
2,2,1,5,1,2.0,6,1.0,485738.1486,5880701.698,2,0,11,5,45,29,1.0,5.0,0.0
5,2,1,5,1,5.0,3,1.0,487957.4635,5881633.158,2,0,11,6,53,18,2.0,5.0,0.0
5,0,1,5,1,5.0,2,1.0,487584.4516,5878390.948,5,0,12,4,77,27,1.0,3.0,0.0
5,0,2,5,1,5.0,3,2.0,481177.3924,5891783.235,2,1,1,4,26,35,1.0,5.0,0.0
