OBJECTID_1,OBJECTID,Admin0,Admin1,Admin2,Admin3,Year,Month,Day,DayofWeek,AccCategory,KindoCollision,TypeoAccident,LightingCond,RoadCondition,Bicycle,PassengerCar,Pedestrian,Motorcycle/Scooter,HGV,OtherAccidents,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
1,596,1,0,56,44,2016,1,16,7,3,2,6,0,1,0,1,0,0,0,0,556503.5622,5939164.76,9.853807832,53.59826462
2,1043,1,0,56,44,2016,3,12,7,3,2,6,0,0,0,1,0,0,0,0,556387.3434,5939185.131,9.852055583,53.59846022
3,1371,1,0,56,44,2016,3,18,6,3,2,6,1,0,0,1,0,1,0,0,556499.5882,5939173.805,9.853749428,53.59834634
4,2392,1,0,62,90,2016,5,19,4,3,5,2,0,0,1,1,0,0,0,0,575681.2085,5948315.203,10.14576622,53.67807846
5,4187,1,0,62,53,2016,8,12,4,2,2,2,0,0,0,1,0,0,0,0,577430.6566,5932384.735,10.16828756,53.5346609
6,4426,1,0,56,44,2016,8,13,5,3,2,7,0,0,0,1,0,1,0,0,556280.4474,5939211.244,9.850445213,53.5987064
7,4613,1,0,56,44,2016,8,11,4,3,2,2,0,0,0,1,0,0,0,0,556375.9045,5939186.907,9.851883075,53.59847741
8,4884,1,0,56,44,2016,9,16,2,3,2,6,0,0,0,1,0,0,0,0,556288.3882,5939209.817,9.850564933,53.59869272
9,5331,1,0,56,44,2016,9,14,7,3,5,3,0,0,1,1,0,0,0,0,556517.4636,5939170.711,9.854018945,53.5983166
10,5676,1,0,56,44,2016,8,16,6,3,2,6,0,0,0,1,0,0,0,0,556456.786,5939173.561,9.853102691,53.59834876
11,5692,1,0,56,44,2016,7,10,6,3,0,7,0,0,1,0,0,0,0,0,556514.1803,5939171.279,9.853969441,53.59832206
12,6132,2,7,9,710,2016,2,16,4,3,2,2,0,0,0,1,0,1,0,0,564235.4091,5922776.339,9.967262658,53.45008561
13,6135,2,1,19,140,2016,4,11,7,3,2,6,0,0,0,1,0,0,0,1,561096.3869,5930292.862,9.921464726,53.51801391
14,6147,2,6,9,610,2016,1,13,2,2,6,4,0,0,0,1,1,0,0,0,575365.4088,5926700.455,10.13576686,53.48387724
15,6148,2,1,1,102,2016,3,16,7,2,2,6,0,0,0,1,0,1,0,1,565846.1589,5933617.848,9.99378954,53.54732295
16,6155,2,3,5,317,2016,2,18,1,3,9,1,2,0,0,1,0,0,0,0,563732.328,5939531.976,9.963098545,53.60073575
17,6165,2,1,6,117,2016,1,21,4,3,5,3,2,1,0,1,0,0,0,0,568007.29,5934112.22,10.02650848,53.5514905
18,6166,2,3,9,321,2016,3,15,7,3,4,2,0,1,0,1,0,0,0,0,561461.5288,5938558.478,9.928596256,53.59225782
19,6183,2,4,5,411,2016,2,11,4,3,2,6,0,1,0,1,0,0,0,0,567486.64,5937555.221,10.01939497,53.58250045
20,6189,2,6,2,603,2016,4,15,2,3,5,2,0,0,1,1,0,0,0,0,582353.3944,5926138.468,10.24090338,53.4777799
21,6201,2,1,1,101,2016,1,3,7,3,4,6,2,2,0,1,0,0,0,0,566364.697,5933645.366,10.00162016,53.54750498
22,6206,2,1,6,115,2016,2,7,7,3,5,3,0,0,0,1,0,0,0,0,567748.1017,5933191.566,10.02239751,53.54324994
23,6209,2,3,7,319,2016,3,16,4,3,2,6,0,1,0,1,0,0,0,0,561218.2781,5943052.356,9.925804743,53.63267423
24,6220,2,4,7,417,2016,1,17,5,3,2,6,2,0,0,1,0,0,0,0,567955.832,5934932.514,10.02591023,53.55886927
25,6221,2,2,7,219,2016,3,16,7,2,5,3,0,0,0,1,0,1,0,0,559430.5487,5934390.295,9.897121888,53.55503063
26,6226,2,3,6,318,2016,2,9,3,3,1,6,0,0,0,1,0,0,0,0,562614.623,5941559.276,9.946618197,53.61909039
27,6237,2,1,19,140,2016,3,7,4,2,2,6,0,1,0,0,0,0,1,0,561229.808,5932693.727,9.923946254,53.53957606
28,6249,2,1,6,115,2016,2,12,2,3,2,6,0,1,0,1,0,0,0,0,567698.1141,5933220.322,10.0216495,53.54351482
29,6262,2,4,2,405,2016,1,19,1,3,2,7,2,1,0,1,0,0,0,0,565114.9994,5939215.964,9.983923593,53.59772572
30,6263,2,3,9,321,2016,3,9,6,3,5,3,0,1,0,1,0,0,0,0,561423.2312,5938623.407,9.928030504,53.59284585
