Date,Count
1/1/2015,5
1/2/2015,10
1/3/2015,9
1/4/2015,11
1/5/2015,17
1/6/2015,19
1/7/2015,24
1/8/2015,39
1/9/2015,23
1/10/2015,14
1/11/2015,7
1/12/2015,28
1/13/2015,25
1/14/2015,19
1/15/2015,28
1/16/2015,26
1/17/2015,20
1/18/2015,15
1/19/2015,28
1/20/2015,32
1/21/2015,22
1/22/2015,21
1/23/2015,16
1/24/2015,29
1/25/2015,8
1/26/2015,29
1/27/2015,27
1/28/2015,29
1/29/2015,25
1/30/2015,20
1/31/2015,15
2/1/2015,10
2/2/2015,30
2/3/2015,19
2/4/2015,19
2/5/2015,24
2/6/2015,31
2/7/2015,11
2/8/2015,18
2/9/2015,30
2/10/2015,26
2/11/2015,22
2/12/2015,23
2/13/2015,23
2/14/2015,21
2/15/2015,6
2/16/2015,15
2/17/2015,23
2/18/2015,20
2/19/2015,19
2/20/2015,23
2/21/2015,12
2/22/2015,9
2/23/2015,19
2/24/2015,28
2/25/2015,31
2/26/2015,27
2/27/2015,30
2/28/2015,24
3/1/2015,9
3/2/2015,29
3/3/2015,28
3/4/2015,27
3/5/2015,20
3/6/2015,18
3/7/2015,15
3/8/2015,17
3/9/2015,23
3/10/2015,24
3/11/2015,35
3/12/2015,16
3/13/2015,20
3/14/2015,14
3/15/2015,10
3/16/2015,27
3/17/2015,23
3/18/2015,21
3/19/2015,25
3/20/2015,33
3/21/2015,12
3/22/2015,8
3/23/2015,26
3/24/2015,17
3/25/2015,23
3/26/2015,20
3/27/2015,31
3/28/2015,20
3/29/2015,12
3/30/2015,25
3/31/2015,32
4/1/2015,29
4/2/2015,25
4/3/2015,5
4/4/2015,15
4/5/2015,7
4/6/2015,2
4/7/2015,25
4/8/2015,26
4/9/2015,21
4/10/2015,18
4/11/2015,14
4/12/2015,5
4/13/2015,36
4/14/2015,30
4/15/2015,38
4/16/2015,22
4/17/2015,37
4/18/2015,20
4/19/2015,15
4/20/2015,29
4/21/2015,23
4/22/2015,28
4/23/2015,18
4/24/2015,25
4/25/2015,12
4/26/2015,13
4/27/2015,36
4/28/2015,34
4/29/2015,29
4/30/2015,45
5/1/2015,7
5/2/2015,9
5/3/2015,12
5/4/2015,32
5/5/2015,44
5/6/2015,27
5/7/2015,38
5/8/2015,32
5/9/2015,12
5/10/2015,5
5/11/2015,30
5/12/2015,23
5/13/2015,33
5/14/2015,10
5/15/2015,24
5/16/2015,10
5/17/2015,6
5/18/2015,27
5/19/2015,25
5/20/2015,34
5/21/2015,26
5/22/2015,24
5/23/2015,23
5/24/2015,10
5/25/2015,12
5/26/2015,34
5/27/2015,25
5/28/2015,31
5/29/2015,30
5/30/2015,16
5/31/2015,11
6/1/2015,31
6/2/2015,30
6/3/2015,39
6/4/2015,39
6/5/2015,30
6/6/2015,17
6/7/2015,7
6/8/2015,20
6/9/2015,34
6/10/2015,35
6/11/2015,31
6/12/2015,26
6/13/2015,23
6/14/2015,8
6/15/2015,25
6/16/2015,29
6/17/2015,24
6/18/2015,18
6/19/2015,37
6/20/2015,16
6/21/2015,9
6/22/2015,34
6/23/2015,30
6/24/2015,21
6/25/2015,27
6/26/2015,23
6/27/2015,23
6/28/2015,12
6/29/2015,36
6/30/2015,42
7/1/2015,26
7/2/2015,15
7/3/2015,26
7/4/2015,11
7/5/2015,9
7/6/2015,30
7/7/2015,26
7/8/2015,25
7/9/2015,26
7/10/2015,30
7/11/2015,11
7/12/2015,12
7/13/2015,29
7/14/2015,41
7/15/2015,27
7/16/2015,24
7/17/2015,28
7/18/2015,16
7/19/2015,9
7/20/2015,17
7/21/2015,29
7/22/2015,19
7/23/2015,16
7/24/2015,14
7/25/2015,15
7/26/2015,5
7/27/2015,32
7/28/2015,19
7/29/2015,32
7/30/2015,26
7/31/2015,18
8/1/2015,15
8/2/2015,15
8/3/2015,24
8/4/2015,25
8/5/2015,23
8/6/2015,17
8/7/2015,40
8/8/2015,12
8/9/2015,3
8/10/2015,31
8/11/2015,28
8/12/2015,26
8/13/2015,20
8/14/2015,26
8/15/2015,17
8/16/2015,8
8/17/2015,28
8/18/2015,32
8/19/2015,15
8/20/2015,17
8/21/2015,21
8/22/2015,11
8/23/2015,16
8/24/2015,22
8/25/2015,32
8/26/2015,31
8/27/2015,23
8/28/2015,32
8/29/2015,9
8/30/2015,14
8/31/2015,28
9/1/2015,29
9/2/2015,17
9/3/2015,29
9/4/2015,29
9/5/2015,20
9/6/2015,20
9/7/2015,34
9/8/2015,31
9/9/2015,28
9/10/2015,33
9/11/2015,22
9/12/2015,13
9/13/2015,8
9/14/2015,32
9/15/2015,34
9/16/2015,28
9/17/2015,18
9/18/2015,29
9/19/2015,23
9/20/2015,12
9/21/2015,25
9/22/2015,29
9/23/2015,19
9/24/2015,30
9/25/2015,20
9/26/2015,15
9/27/2015,15
9/28/2015,28
9/29/2015,43
9/30/2015,46
10/1/2015,33
10/2/2015,35
10/3/2015,9
10/4/2015,5
10/5/2015,34
10/6/2015,40
10/7/2015,29
10/8/2015,20
10/9/2015,42
10/10/2015,17
10/11/2015,12
10/12/2015,32
10/13/2015,26
10/14/2015,39
10/15/2015,49
10/16/2015,37
10/17/2015,13
10/18/2015,15
10/19/2015,27
10/20/2015,14
10/21/2015,19
10/22/2015,33
10/23/2015,21
10/24/2015,15
10/25/2015,9
10/26/2015,31
10/27/2015,31
10/28/2015,25
10/29/2015,21
10/30/2015,27
10/31/2015,17
11/1/2015,18
11/2/2015,32
11/3/2015,34
11/4/2015,33
11/5/2015,33
11/6/2015,58
11/7/2015,18
11/8/2015,18
11/9/2015,35
11/10/2015,28
11/11/2015,42
11/12/2015,34
11/13/2015,42
11/14/2015,20
11/15/2015,19
