Date,Count
2015-01-01,5
2015-01-02,10
2015-01-03,9
2015-01-04,11
2015-01-05,17
2015-01-06,19
2015-01-07,24
2015-01-08,39
2015-01-09,23
2015-01-10,14
2015-01-11,7
2015-01-12,28
2015-01-13,25
2015-01-14,19
2015-01-15,28
2015-01-16,26
2015-01-17,20
2015-01-18,15
2015-01-19,28
2015-01-20,32
2015-01-21,22
2015-01-22,21
2015-01-23,16
2015-01-24,29
2015-01-25,8
2015-01-26,29
2015-01-27,27
2015-01-28,29
2015-01-29,25
2015-01-30,20
2015-01-31,15
2015-02-01,10
2015-02-02,30
2015-02-03,19
2015-02-04,19
2015-02-05,24
2015-02-06,31
2015-02-07,11
2015-02-08,18
2015-02-09,30
2015-02-10,26
2015-02-11,22
2015-02-12,23
2015-02-13,23
2015-02-14,21
2015-02-15,6
2015-02-16,15
2015-02-17,23
2015-02-18,20
2015-02-19,19
2015-02-20,23
2015-02-21,12
2015-02-22,9
2015-02-23,19
2015-02-24,28
2015-02-25,31
2015-02-26,27
2015-02-27,30
2015-02-28,24
2015-03-01,9
2015-03-02,29
2015-03-03,28
2015-03-04,27
2015-03-05,20
2015-03-06,18
2015-03-07,15
2015-03-08,17
2015-03-09,23
2015-03-10,24
2015-03-11,35
2015-03-12,16
2015-03-13,20
2015-03-14,14
2015-03-15,10
2015-03-16,27
2015-03-17,23
2015-03-18,21
2015-03-19,25
2015-03-20,33
2015-03-21,12
2015-03-22,8
2015-03-23,26
2015-03-24,17
2015-03-25,23
2015-03-26,20
2015-03-27,31
2015-03-28,20
2015-03-29,12
2015-03-30,25
2015-03-31,32
2015-04-01,29
2015-04-02,25
2015-04-03,5
2015-04-04,15
2015-04-05,7
2015-04-06,2
2015-04-07,25
2015-04-08,26
2015-04-09,21
2015-04-10,18
2015-04-11,14
2015-04-12,5
2015-04-13,36
2015-04-14,30
2015-04-15,38
2015-04-16,22
2015-04-17,37
2015-04-18,20
2015-04-19,15
2015-04-20,29
2015-04-21,23
2015-04-22,28
2015-04-23,18
2015-04-24,25
2015-04-25,12
2015-04-26,13
2015-04-27,36
2015-04-28,34
2015-04-29,29
2015-04-30,45
2015-05-01,7
2015-05-02,9
2015-05-03,12
2015-05-04,32
2015-05-05,44
2015-05-06,27
2015-05-07,38
2015-05-08,32
2015-05-09,12
2015-05-10,5
2015-05-11,30
2015-05-12,23
2015-05-13,33
2015-05-14,10
2015-05-15,24
2015-05-16,10
2015-05-17,6
2015-05-18,27
2015-05-19,25
2015-05-20,34
2015-05-21,26
2015-05-22,24
2015-05-23,23
2015-05-24,10
2015-05-25,12
2015-05-26,34
2015-05-27,25
2015-05-28,31
2015-05-29,30
2015-05-30,16
2015-05-31,11
2015-06-01,31
2015-06-02,30
2015-06-03,39
2015-06-04,39
2015-06-05,30
2015-06-06,17
2015-06-07,7
2015-06-08,20
2015-06-09,34
2015-06-10,35
2015-06-11,31
2015-06-12,26
2015-06-13,23
2015-06-14,8
2015-06-15,25
