SN,District,Imperial_Circle,Community,Year,Month,Weekday,Hour,Road,Cycle,Car,Pedestrians,Motorcycle,Goods Vehicle,Others,Total,Collision Type,Accident Type,Light Condition,Road Condition,Accident_Severity,Tend_to_Death
1,7,9,710,2016,2,4,16,0,0,1,0,1,0,0,2,2,2,0,3,3,0
2,1,19,140,2016,4,7,11,0,0,1,0,0,0,1,2,2,6,0,3,3,0
3,6,9,610,2016,1,2,13,0,0,1,1,0,0,0,2,6,4,0,3,2,1
4,1,1,102,2016,3,7,16,0,0,1,0,1,0,1,3,2,6,0,3,2,1
5,3,5,317,2016,2,1,18,0,0,1,0,0,0,0,1,9,1,2,3,3,0
6,1,6,117,2016,1,4,21,1,0,1,0,0,0,0,2,5,3,2,3,3,0
7,3,9,321,2016,3,7,15,1,0,1,0,0,0,0,2,4,2,0,3,3,0
8,4,5,411,2016,2,4,11,1,0,1,0,0,0,0,2,2,6,0,3,3,0
9,6,2,603,2016,4,2,15,0,1,1,0,0,0,0,2,5,2,0,3,3,0
10,1,1,101,2016,1,7,3,2,0,1,0,0,0,0,3,4,6,2,3,3,0
11,1,6,115,2016,2,7,7,0,0,1,0,0,0,0,1,5,3,0,3,3,0
12,3,7,319,2016,3,4,16,1,0,1,0,0,0,0,2,2,6,0,3,3,0
13,4,7,417,2016,1,5,17,0,0,1,0,0,0,0,1,2,6,2,3,3,0
14,2,7,219,2016,3,7,16,0,0,1,0,1,0,0,2,5,3,0,3,2,1
15,3,6,318,2016,2,3,9,0,0,1,0,0,0,0,1,1,6,0,3,3,0
16,1,19,140,2016,3,4,7,1,0,0,0,0,1,0,2,2,6,0,3,2,1
17,1,6,115,2016,2,2,12,1,0,1,0,0,0,0,2,2,6,0,3,3,0
18,4,2,405,2016,1,1,19,1,0,1,0,0,0,0,2,2,7,2,3,3,0
19,3,9,321,2016,3,6,9,1,0,1,0,0,0,0,2,5,3,0,3,3,0
20,2,12,225,2016,2,3,12,0,0,1,0,0,0,0,1,2,7,0,3,3,0
21,7,14,715,2016,4,7,12,0,0,1,0,0,0,0,1,2,6,0,3,3,0
22,3,7,319,2016,1,6,5,0,0,1,0,0,0,0,1,2,6,2,3,3,0
23,1,16,136,2016,3,6,11,1,0,1,0,0,0,0,2,2,6,0,3,3,0
24,7,10,711,2016,2,5,13,0,0,1,0,0,0,0,1,1,6,0,3,3,0
25,3,4,316,2016,3,3,16,1,0,0,1,0,0,1,3,6,2,0,3,3,0
26,3,7,319,2016,1,3,10,1,0,0,0,0,0,1,2,8,1,0,3,3,0
27,7,13,714,2016,3,4,6,2,0,1,0,0,0,1,4,5,3,1,3,3,0
28,2,3,209,2016,3,3,13,0,0,1,0,0,1,0,2,3,6,0,3,3,0
29,2,7,219,2016,1,7,12,1,0,1,0,0,0,0,2,2,6,0,3,3,0
30,3,1,306,2016,2,7,15,1,0,1,0,0,0,0,2,2,6,0,3,3,0
31,2,9,221,2016,4,3,14,1,0,1,0,0,1,0,3,1,6,0,3,3,0
32,1,6,115,2016,1,3,9,0,0,1,0,0,0,0,1,2,6,0,3,3,0
33,3,8,320,2016,3,3,14,0,0,1,0,0,1,0,2,3,6,0,3,3,0
34,2,3,209,2016,2,3,18,1,0,1,0,0,0,0,2,1,6,2,3,3,0
35,2,5,217,2016,2,2,7,1,0,1,0,0,1,1,4,3,6,0,3,3,0
36,1,16,136,2016,4,5,18,1,0,1,0,0,0,0,2,2,6,0,3,3,0
37,3,7,319,2016,1,4,14,1,0,1,0,0,0,0,2,2,6,0,3,3,0
38,2,5,216,2016,3,5,21,0,0,1,0,0,0,0,1,2,6,2,3,3,0
39,2,6,218,2016,2,5,14,1,0,1,0,0,0,0,2,2,7,0,3,3,0
40,1,16,137,2016,3,7,16,0,0,1,0,0,0,0,1,2,6,0,3,3,0
41,7,13,714,2016,1,7,6,2,0,1,0,0,0,0,3,9,1,2,3,3,0
42,1,3,106,2016,3,4,8,1,0,1,0,0,0,1,3,5,3,0,3,3,0
43,1,16,136,2016,2,6,15,0,0,1,0,0,0,0,1,2,6,0,3,3,0
44,4,3,406,2016,1,5,15,0,0,1,0,0,0,0,1,5,3,0,3,3,0
45,1,6,115,2016,2,5,18,0,0,1,0,0,0,0,1,2,6,2,3,3,0
46,1,3,107,2016,4,2,21,0,0,1,1,0,0,0,2,6,4,2,3,2,1
47,7,13,714,2016,1,2,17,0,0,1,0,0,0,0,1,2,2,1,3,3,0
48,1,12,130,2016,3,7,4,0,0,1,0,0,0,0,1,5,3,2,3,3,0
49,2,5,217,2016,2,2,17,0,0,1,0,0,0,0,1,2,6,2,3,3,0
50,3,5,317,2016,1,5,16,0,0,1,0,0,0,1,2,5,2,2,3,3,0
51,7,1,702,2016,3,7,23,1,0,1,0,0,0,0,2,2,6,2,3,3,0
52,6,2,603,2016,2,4,12,0,0,1,1,0,0,0,2,6,2,0,3,3,0
53,7,10,711,2016,1,5,18,1,0,1,0,0,0,0,2,3,6,2,3,3,0
54,7,10,711,2016,3,2,17,0,0,1,0,0,0,0,1,2,6,0,3,3,0
55,4,6,415,2016,2,5,4,1,0,1,1,0,0,0,3,6,4,2,3,2,1
56,7,2,703,2016,1,3,9,0,0,0,0,0,1,0,1,2,6,0,3,1,1
57,4,2,405,2016,2,4,15,0,1,1,0,0,0,0,2,5,2,0,3,3,0
58,1,16,136,2016,4,6,14,0,0,1,0,0,0,0,1,1,6,0,3,3,0
59,2,5,216,2016,1,1,7,2,0,1,0,0,0,0,3,2,6,1,3,3,0
60,4,8,418,2016,3,6,14,0,1,0,1,0,0,0,2,6,7,0,3,3,0
61,3,9,321,2016,2,6,15,0,0,0,0,1,0,0,1,0,7,0,3,3,0
62,4,2,405,2016,1,4,23,1,0,1,0,0,0,0,2,1,2,2,3,3,0
63,3,6,318,2016,3,7,13,1,1,1,0,0,0,0,3,5,2,0,3,3,0
64,2,6,218,2016,2,4,10,1,0,1,0,0,0,0,2,2,6,0,3,3,0
65,1,12,130,2016,4,2,15,0,0,1,0,0,0,0,1,2,6,0,3,3,0
66,1,16,136,2016,1,6,14,0,0,1,0,0,0,0,1,3,6,0,3,3,0
67,1,6,117,2016,2,7,11,0,0,1,0,0,0,0,1,3,6,0,3,3,0
68,1,16,136,2016,3,3,6,0,0,1,0,0,1,0,2,3,6,0,3,3,0
69,6,11,612,2016,1,2,8,1,0,1,0,0,1,0,3,3,6,0,3,3,0
70,1,8,124,2016,2,1,8,2,0,1,1,0,0,0,4,6,2,0,3,3,0
71,2,5,217,2016,3,5,19,0,0,1,0,0,0,0,1,2,6,2,3,3,0
72,2,9,221,2016,1,6,8,1,1,1,0,0,0,0,3,3,2,2,3,3,0
73,7,1,701,2016,3,2,15,0,0,1,0,0,0,0,1,5,3,0,3,3,0
74,2,5,215,2016,2,4,16,1,0,1,1,0,0,0,3,6,3,1,3,3,0
75,6,9,610,2016,1,6,0,1,0,1,0,0,0,0,2,2,6,2,3,3,0
76,2,9,221,2016,3,5,7,0,1,0,1,0,0,0,2,6,7,1,3,3,0
77,6,10,611,2016,2,2,6,0,0,0,0,0,1,0,1,1,6,0,3,3,0
78,1,3,106,2016,2,3,12,1,0,1,0,0,0,0,2,2,6,0,3,3,0
79,1,6,115,2016,4,7,18,0,0,0,0,1,0,0,1,0,1,0,3,3,0
80,6,2,602,2016,1,5,16,0,0,1,1,0,0,0,2,6,7,2,3,3,0
81,3,6,318,2016,3,6,14,1,0,1,0,1,0,0,3,3,7,0,3,3,0
82,6,1,601,2016,2,5,7,1,1,1,0,0,0,0,3,5,3,2,3,3,0
83,2,3,209,2016,3,2,21,1,0,1,1,0,0,0,3,6,2,2,3,3,0
84,3,8,320,2016,1,2,8,1,0,1,0,0,0,1,3,2,6,1,3,3,0
85,3,8,320,2016,3,4,15,0,0,1,0,0,1,0,2,2,6,0,3,3,0
86,3,6,318,2016,2,7,9,0,0,1,0,0,0,0,1,4,7,0,3,3,0
87,1,6,117,2016,1,4,7,1,0,1,1,0,0,0,3,6,4,0,3,3,0
88,2,9,221,2016,3,6,20,0,0,1,1,0,0,0,2,6,4,2,3,3,0
89,1,12,130,2016,3,3,21,1,0,1,0,0,1,0,3,3,2,2,3,3,0
90,3,8,320,2016,2,2,19,1,0,1,0,0,0,0,2,2,6,2,3,3,0
91,6,1,601,2016,2,1,12,1,0,1,0,0,0,0,2,5,3,0,3,3,0
92,3,6,318,2016,4,4,17,0,0,1,0,0,0,1,2,2,6,0,3,3,0
93,7,8,709,2016,1,3,21,1,0,1,0,0,0,0,2,2,6,2,3,3,0
94,3,7,319,2016,3,5,16,0,0,1,0,0,0,0,1,2,6,0,3,3,0
95,2,3,208,2016,2,5,14,0,0,1,0,0,0,0,1,3,7,0,3,3,0
96,3,9,321,2016,1,7,13,0,0,1,0,0,0,0,1,2,6,0,3,3,0
97,6,2,603,2016,3,3,15,0,1,1,0,0,0,0,2,5,3,0,3,3,0
98,3,7,319,2016,2,6,13,1,0,1,0,0,0,0,2,2,6,0,3,3,0
99,1,8,125,2016,1,4,23,1,0,1,0,0,0,0,2,9,1,2,3,3,0
100,7,14,715,2016,2,4,17,0,0,1,0,0,0,0,1,2,6,1,3,3,0
101,4,2,403,2016,4,1,13,0,0,1,0,0,0,0,1,2,6,0,3,3,0
102,1,16,136,2016,1,2,17,0,0,1,0,0,1,0,2,3,6,2,3,3,0
103,1,4,111,2016,3,7,15,0,1,1,0,0,0,0,2,5,3,0,3,3,0
104,1,16,136,2016,1,5,15,0,0,1,0,0,0,1,2,2,6,0,3,3,0
105,1,16,136,2016,2,6,7,1,0,1,0,0,1,0,3,3,6,0,3,3,0
106,3,1,306,2016,4,3,16,1,1,1,0,0,0,0,3,5,2,0,3,3,0
107,2,5,216,2016,1,3,20,1,0,1,0,0,0,0,2,4,2,2,3,3,0
108,1,3,106,2016,3,3,18,0,0,1,0,0,0,0,1,2,6,2,3,3,0
109,1,7,120,2016,2,2,7,0,0,1,0,0,0,0,1,2,6,1,3,3,0
110,1,8,121,2016,1,5,10,2,0,1,0,0,0,0,3,1,2,0,3,3,0
111,1,12,130,2016,3,1,5,0,0,1,0,0,0,0,1,2,6,2,3,3,0
112,3,8,320,2016,2,5,19,1,0,1,0,0,0,1,3,4,2,2,3,3,0
113,1,8,124,2016,1,3,19,1,0,1,0,0,0,0,2,2,2,2,3,3,0
114,6,2,602,2016,2,3,15,0,0,1,0,0,0,0,1,1,6,0,3,3,0
115,7,14,715,2016,3,5,17,0,0,1,0,0,0,0,1,2,6,0,3,3,0
116,4,7,417,2016,1,7,20,1,0,1,0,0,0,0,2,5,3,2,3,3,0
117,3,9,321,2016,3,4,13,0,0,1,0,1,0,0,2,2,6,0,3,3,0
118,6,1,601,2016,2,5,16,1,0,1,0,0,0,0,2,2,6,1,3,3,0
119,2,3,209,2016,1,2,9,2,0,1,0,0,1,0,4,3,6,0,3,3,0
120,4,6,415,2016,3,6,18,0,1,1,0,0,0,0,2,5,3,2,3,2,1
121,1,6,117,2016,2,1,15,0,0,1,0,0,0,0,1,4,2,0,3,3,0
122,6,11,612,2016,1,4,17,1,0,1,0,0,0,0,2,3,6,1,3,3,0
123,1,6,115,2016,3,7,23,1,0,1,0,0,0,0,2,3,6,2,3,3,0
124,4,3,406,2016,2,4,16,0,0,1,0,0,0,0,1,5,3,0,3,3,0
125,1,16,136,2016,4,2,7,0,0,1,0,0,0,0,1,2,6,0,3,3,0
126,3,7,319,2016,1,7,18,1,0,1,1,0,0,0,3,6,4,2,3,3,0
127,3,6,318,2016,2,1,10,1,0,1,0,0,0,0,2,3,7,0,3,3,0
128,7,10,711,2016,3,4,17,0,0,1,0,0,0,0,1,2,6,0,3,3,0
129,3,1,306,2016,1,6,14,0,1,0,0,0,0,1,2,5,7,0,3,3,0
130,2,7,219,2016,3,1,17,0,0,1,0,0,0,0,1,2,6,0,3,3,0
131,1,7,120,2016,2,3,15,0,0,1,0,0,0,0,1,2,6,0,3,3,0
132,1,12,130,2016,1,6,1,0,0,1,0,0,0,0,1,2,6,2,3,3,0
